Gene ID,Gene Accession,Gene name,Reaction id,Reaction EC,Enzymatic activity,Evidence,
AT1G62960,AT1G62960.1,ACS10,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT5G19550,AT5G19550.1,ASP2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT4G31990,AT4G31990.3,ASP5,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT2G30970,AT2G30970.1,ASP1,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT5G14060,AT5G14060.1,AT5G14060.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT5G13280,AT5G13280.1,AT5G13280.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT4G19710,AT4G19710.2,AK-HSDH2,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G31230,AT1G31230.1,AK-HSDH1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G14810,AT1G14810.1,AT1G14810.1,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.11,aspartate semialdehyde dehydrogenase,EV-EXP,
AT5G21060,AT5G21060.2,AT5G21060.2,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-COMP,
AT4G19710,AT4G19710.2,AK-HSDH2,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-EXP,
AT1G31230,AT1G31230.1,AK-HSDH1,HOMOSERDEHYDROG-RXN,1.1.1.3,homoserine dehydrogenase,EV-EXP,
GQT-4387,AT4G35295.1,AT4G35295.1,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-COMP,
AT2G17265,AT2G17265.1,HSK,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-EXP,
AT1G72810,AT1G72810.1,AT1G72810.1,THRESYN-RXN,4.2.3.1,threonine synthase,EV-COMP,
AT4G29840,AT4G29840.1,MTO2,THRESYN-RXN,4.2.3.1,threonine synthase,EV-EXP,
AT3G48560,AT3G48560.1,AT3G48560.1,ACETOOHBUTSYN-RXN,2.2.1.6,acetolactate synthase,EV-EXP,
AT3G23940,AT3G23940.1,AT3G23940.1,DIHYDROXYMETVALDEHYDRAT-RXN,4.2.1.9,dihydroxyacid dehydratase,EV-AS,
GQT-502,AT3G05190.1,AT3G05190.1,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
GQT-279,AT5G27410.2,AT5G27410.2,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
AT1G10070,AT1G10070.1,Atbcat-2,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT3G49680,AT3G49680.1,Atbcat-3,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT5G65780,AT5G65780.1,Atbact-5,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-EXP,
AT3G48560,AT3G48560.1,AT3G48560.1,ACETOOHBUTSYN-RXN,2.2.1.6,acetolactate synthase,EV-EXP,
AT3G23940,AT3G23940.1,AT3G23940.1,DIHYDROXYMETVALDEHYDRAT-RXN,4.2.1.9,dihydroxyacid dehydratase,EV-AS,
GQT-502,AT3G05190.1,AT3G05190.1,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
GQT-279,AT5G27410.2,AT5G27410.2,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
AT1G10070,AT1G10070.1,Atbcat-2,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT3G49680,AT3G49680.1,Atbcat-3,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT5G65780,AT5G65780.1,Atbact-5,BRANCHED-CHAINAMINOTRANSFERILEU-RXN,2.6.1.42,branched-chain-amino-acid transaminase,EV-EXP,
AT5G23020,AT5G23020.1,MAM3,2-ISOPROPYLMALATESYN-RXN,2.3.3.13,2-isopropylmalate synthase,EV-COMP,
AT5G23010,AT5G23010.1,MAM1,2-ISOPROPYLMALATESYN-RXN,2.3.3.13,2-isopropylmalate synthase,EV-COMP,
AT1G18500,AT1G18500.1,IPMS1,2-ISOPROPYLMALATESYN-RXN,2.3.3.13,2-isopropylmalate synthase,EV-EXP,
AT1G74040,AT1G74040.1,IPMS2,2-ISOPROPYLMALATESYN-RXN,2.3.3.13,2-isopropylmalate synthase,EV-EXP,
AT3G58990,AT3G58990.1,AT3G58990.1,3-ISOPROPYLMALISOM-RXN,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT2G43100,AT2G43100.1,AT2G43100.1,3-ISOPROPYLMALISOM-RXN,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT4G13430,AT4G13430.1,AT4G13430.1,3-ISOPROPYLMALISOM-RXN,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT2G43090,AT2G43090.1,AT2G43090.1,3-ISOPROPYLMALISOM-RXN,No EC#,isopropylmalate isomerase,EV-EXP,
AT4G13430,AT4G13430.1,AT4G13430.1,3-ISOPROPYLMALISOM-RXN,No EC#,isopropylmalate isomerase,EV-EXP,
AT3G58990,AT3G58990.1,AT3G58990.1,RXN-8991,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT2G43100,AT2G43100.1,AT2G43100.1,RXN-8991,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT4G13430,AT4G13430.1,AT4G13430.1,RXN-8991,No EC#,3-isopropylmalate dehydratase,EV-COMP,
AT2G43090,AT2G43090.1,AT2G43090.1,RXN-8991,No EC#,isopropylmalate isomerase,EV-EXP,
AT4G13430,AT4G13430.1,AT4G13430.1,RXN-8991,No EC#,isopropylmalate isomerase,EV-EXP,
GQT-4877,AT1G68490.1,AT1G68490.1,3-ISOPROPYLMALDEHYDROG-RXN,No EC#,3-isopropylmalate dehydrogenase,EV-COMP,
AT5G14200,AT5G14200.1,AtIMD1,3-ISOPROPYLMALDEHYDROG-RXN,No EC#,3-isopropylmalate dehydrogenase,EV-EXP,
AT1G80560,AT1G80560.1,AtIMD2,3-ISOPROPYLMALDEHYDROG-RXN,No EC#,3-isopropylmalate dehydrogenase,EV-EXP,
AT1G31180,AT1G31180.1,AtIMD3,3-ISOPROPYLMALDEHYDROG-RXN,No EC#,3-isopropylmalate dehydrogenase,EV-EXP,
AT1G50110,AT1G50110.1,AT1G50110.1,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,leucine transaminase,EV-COMP,
AT1G50090,AT1G50090.1,AT1G50090.1,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,leucine transaminase,EV-COMP,
AT3G19710,AT3G19710.1,AT3G19710.1,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,leucine transaminase,EV-COMP,
GQT-502,AT3G05190.1,AT3G05190.1,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
GQT-279,AT5G27410.2,AT5G27410.2,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,branched-chain-amino-acid transaminase,EV-COMP,
AT3G49680,AT3G49680.1,Atbcat-3,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT1G10070,AT1G10070.1,Atbcat-2,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,branched-chain amino acid aminotransferase,EV-EXP,
AT5G65780,AT5G65780.1,Atbact-5,BRANCHED-CHAINAMINOTRANSFERLEU-RXN,2.6.1.6/2.6.1.42,branched-chain-amino-acid transaminase,EV-EXP,
AT5G14060,AT5G14060.1,AT5G14060.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT5G13280,AT5G13280.1,AT5G13280.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-COMP,
AT4G19710,AT4G19710.2,AK-HSDH2,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT3G02020,AT3G02020.1,AT3G02020.1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G31230,AT1G31230.1,AK-HSDH1,ASPARTATEKIN-RXN,2.7.2.4,aspartate kinase,EV-EXP,
AT1G14810,AT1G14810.1,AT1G14810.1,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.11,aspartate semialdehyde dehydrogenase,EV-EXP,
AT3G60880,AT3G60880.2,AT3G60880.2,DIHYDRODIPICSYN-RXN,4.3.3.7,dihydrodipicolinate synthase,EV-EXP,
AT2G45440,AT2G45440.1,AT2G45440.1,DIHYDRODIPICSYN-RXN,4.3.3.7,dihydrodipicolinate synthase,EV-EXP,
AT2G44040,AT2G44040.1,AT2G44040.1,RXN-14014,1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase,EV-COMP,
AT3G59890,AT3G59890.1,AT3G59890.1,RXN-14014,1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase,EV-COMP,
AT5G52100,AT5G52100.1,AT5G52100.1,RXN-14014,1.17.1.8,AT5G52100,EV-COMP,
AT2G13810,AT2G13810.1,AT2G13810.1,RXN-7737,2.6.1.83,LL-diaminopimelate aminotransferase,EV-COMP,
AT4G33680,AT4G33680.1,AT4G33680.1,RXN-7737,2.6.1.83,L,L-diaminopimelate aminotransferase,EV-EXP
GQT-4539,AT2G16520.1,AT2G16520.1,DIAMINOPIMEPIM-RXN,5.1.1.7,diaminopimelate epimerase,EV-COMP,
AT3G53580,AT3G53580.1,AT3G53580.1,DIAMINOPIMEPIM-RXN,5.1.1.7,diaminopimelate epimerase,EV-EXP,
AT3G14390,AT3G14390.1,AT3G14390.1,DIAMINOPIMDECARB-RXN,4.1.1.20,diaminopimelate decarboxylase,EV-EXP,
AT5G11880,AT5G11880.1,AT5G11880.1,DIAMINOPIMDECARB-RXN,4.1.1.20,diaminopimelate decarboxylase,EV-EXP,
AT2G36880,AT2G36880.1,AT2G36880.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT4G01850,AT4G01850.1,AT4G01850.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT3G17390,AT3G17390.1,AT3G17390.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT1G02500,AT1G02500.1,SAM-1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-EXP,
AT3G23810,AT3G23810.1,AT3G23810.1,ADENOSYLHOMOCYSTEINASE-RXN,3.3.1.1,adenosylhomocysteinase,EV-COMP,
AT4G13940,AT4G13940.1,AT4G13940.1,ADENOSYLHOMOCYSTEINASE-RXN,3.3.1.1,adenosylhomocysteinase,EV-EXP,
AT5G20980,AT5G20980.1,AT5G20980.1,HOMOCYSMET-RXN,2.1.1.14,AT5G20980.1,No Evidence Code,
AT3G03780,AT3G03780.1,AT3G03780.1,HOMOCYSMET-RXN,2.1.1.14,methionine synthase,EV-EXP,
AT5G17920,AT5G17920.1,AT5G17920.1,HOMOCYSMET-RXN,2.1.1.14,5-methyltetrahydropteroyltriglutamate:homocysteine S-methyltransferase,EV-EXP,
AT2G05830,AT2G05830.1,AT2G05830.1,5.3.1.23-RXN,5.3.1.23,5-methylthioribose-1-phosphate isomerase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R145-RXN,4.2.1.109,methylthioribulose 1-phosphate dehydratase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R82-RXN,5.3.2.5,hydrolase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R83-RXN,3.1.3.87,hydrolase,EV-COMP,
AT4G14710,AT4G14710.5,AT4G14710.5,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT2G26400,AT2G26400.1,AT2G26400.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT5G43850,AT5G43850.1,AT5G43850.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT4G14716,AT4G14716.1,AT4G14716.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT1G77670,AT1G77670.1,AT1G77670.1,RXN-15650,2.6.1.-,transaminase,EV-COMP,
AT2G36880,AT2G36880.1,AT2G36880.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT4G01850,AT4G01850.1,AT4G01850.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT3G17390,AT3G17390.1,AT3G17390.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT1G02500,AT1G02500.1,SAM-1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-EXP,
AT3G25570,AT3G25570.1,AT3G25570.1,SAMDECARB-RXN,4.1.1.50,adenosylmethionine decarboxylase,EV-COMP,
AT5G18930,AT5G18930.1,AT5G18930.1,SAMDECARB-RXN,4.1.1.50,adenosylmethionine decarboxylase,EV-COMP,
AT5G15950,AT5G15950.1,AT5G15950.1,SAMDECARB-RXN,4.1.1.50,adenosylmethionine decarboxylase,EV-COMP,
AT3G02470,AT3G02470.1,SAMDC,SAMDECARB-RXN,4.1.1.50,adenosylmethionine decarboxylase,EV-EXP,
GQT-3928,AT5G04610.1,AT5G04610.1,SPERMIDINESYN-RXN,2.5.1.16,spermidine synthase,EV-COMP,
AT5G53120,AT5G53120.6,SPDS3,SPERMIDINESYN-RXN,2.5.1.16,spermidine synthase,EV-EXP,
AT1G23820,AT1G23820.1,SPDS1,SPERMIDINESYN-RXN,2.5.1.16,spermidine synthase,EV-EXP,
AT1G70310,AT1G70310.1,SPDS2,SPERMIDINESYN-RXN,2.5.1.16,spermidine synthase,EV-EXP,
GQT-4076,AT4G28940.1,AT4G28940.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-COMP,
GQT-4559,AT4G24340.1,AT4G24340.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-COMP,
AT4G34840,AT4G34840.1,AT4G34840.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-AS,
AT4G38800,AT4G38800.1,AT4G38800.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-AS,
AT1G49820,AT1G49820.1,AT1G49820.1,5-METHYLTHIORIBOSE-KINASE-RXN,2.7.1.100,S-methyl-5-thioribose kinase,EV-EXP,
AT2G05830,AT2G05830.1,AT2G05830.1,5.3.1.23-RXN,5.3.1.23,5-methylthioribose-1-phosphate isomerase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R145-RXN,4.2.1.109,methylthioribulose 1-phosphate dehydratase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R82-RXN,5.3.2.5,hydrolase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R83-RXN,3.1.3.87,hydrolase,EV-COMP,
AT4G14710,AT4G14710.5,AT4G14710.5,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT2G26400,AT2G26400.1,AT2G26400.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT5G43850,AT5G43850.1,AT5G43850.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT4G14716,AT4G14716.1,AT4G14716.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT1G77670,AT1G77670.1,AT1G77670.1,RXN-15650,2.6.1.-,transaminase,EV-COMP,
AT2G36880,AT2G36880.1,AT2G36880.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT4G01850,AT4G01850.1,AT4G01850.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT3G17390,AT3G17390.1,AT3G17390.1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-COMP,
AT1G02500,AT1G02500.1,SAM-1,S-ADENMETSYN-RXN,2.5.1.6,methionine adenosyltransferase,EV-EXP,
AT3G61510,AT3G61510.1,AT3G61510.1,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-COMP,
AT1G01480,AT1G01480.1,ACS2,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT2G22810,AT2G22810.1,ACS4,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT5G65800,AT5G65800.1,ACS5,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT4G37770,AT4G37770.1,ACS8,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT4G26200,AT4G26200.1,ACS7,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT4G11280,AT4G11280.1,ACS6,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT4G08040,AT4G08040.1,ACS11,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
AT3G49700,AT3G49700.1,ACS9,4.4.1.14-RXN,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase,EV-EXP,
GQT-4076,AT4G28940.1,AT4G28940.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-COMP,
GQT-4559,AT4G24340.1,AT4G24340.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-COMP,
AT4G34840,AT4G34840.1,AT4G34840.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-AS,
AT4G38800,AT4G38800.1,AT4G38800.1,METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,3.2.2.16,methylthioadenosine nucleosidase,EV-AS,
AT1G49820,AT1G49820.1,AT1G49820.1,5-METHYLTHIORIBOSE-KINASE-RXN,2.7.1.100,S-methyl-5-thioribose kinase,EV-EXP,
AT2G05830,AT2G05830.1,AT2G05830.1,5.3.1.23-RXN,5.3.1.23,5-methylthioribose-1-phosphate isomerase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R145-RXN,4.2.1.109,methylthioribulose 1-phosphate dehydratase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R82-RXN,5.3.2.5,hydrolase,EV-COMP,
AT5G53850,AT5G53850.2,AT5G53850.2,R83-RXN,3.1.3.87,hydrolase,EV-COMP,
AT4G14710,AT4G14710.5,AT4G14710.5,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT2G26400,AT2G26400.1,AT2G26400.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT5G43850,AT5G43850.1,AT5G43850.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT4G14716,AT4G14716.1,AT4G14716.1,R147-RXN,1.13.11.54,acireductone dioxygenase [iron(II)-requiring],EV-COMP,
AT1G77670,AT1G77670.1,AT1G77670.1,RXN-15650,2.6.1.-,transaminase,EV-COMP,
AT5G49810,AT5G49810.1,AT5G49810.1,METHIONINE-S-METHYLTRANSFERASE-RXN,2.1.1.12,methionine S-methyltransferase,EV-EXP,
AT3G22740,AT3G22740.1,AT3G22740.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-COMP,
AT3G63250,AT3G63250.1,AT3G63250.1,MMUM-RXN,2.1.1.10,S-methylmethionine:homocysteine S-methyltransferase,EV-EXP,
AT3G25900,AT3G25900.1,AT3G25900.1,MMUM-RXN,2.1.1.10,S-methylmethionine:homocysteine S-methyltransferase,EV-EXP,
AT3G63250,AT3G63250.1,AT3G63250.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-EXP,
AT3G25900,AT3G25900.1,AT3G25900.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-EXP,
GQT-4387,AT4G35295.1,AT4G35295.1,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-COMP,
AT2G17265,AT2G17265.1,HSK,HOMOSERKIN-RXN,2.7.1.39,homoserine kinase,EV-EXP,
AT1G33320,AT1G33320.1,AT1G33320.1,CYSPH-RXN,2.5.1.-,cystathionine gamma-synthase,EV-COMP,
AT3G01120,AT3G01120.1,AT3G01120.1,CYSPH-RXN,2.5.1.-,cystathionine gamma-synthase,EV-EXP,
AT3G57050,AT3G57050.1,AT3G57050.1,RXN-15131,No EC#,AT3G57050.1,No Evidence Code,
AT4G23590,AT4G23590.1,AT4G23590.1,RXN-15131,No EC#,transaminase,EV-COMP,
AT3G22740,AT3G22740.1,AT3G22740.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-COMP,
AT3G63250,AT3G63250.1,AT3G63250.1,MMUM-RXN,2.1.1.10,S-methylmethionine:homocysteine S-methyltransferase,EV-EXP,
AT3G25900,AT3G25900.1,AT3G25900.1,MMUM-RXN,2.1.1.10,S-methylmethionine:homocysteine S-methyltransferase,EV-EXP,
AT3G63250,AT3G63250.1,AT3G63250.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-EXP,
AT3G25900,AT3G25900.1,AT3G25900.1,MMUM-RXN,2.1.1.10,homocysteine S-methyltransferase,EV-EXP,
AT3G63250,AT3G63250.1,AT3G63250.1,HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN,2.1.1.-,homocysteine S-methyltransferase,EV-EXP,
AT3G25900,AT3G25900.1,AT3G25900.1,HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN,2.1.1.-,homocysteine S-methyltransferase,EV-EXP,
AT5G20980,AT5G20980.1,AT5G20980.1,HOMOCYSMET-RXN,2.1.1.14,AT5G20980.1,No Evidence Code,
AT3G03780,AT3G03780.1,AT3G03780.1,HOMOCYSMET-RXN,2.1.1.14,methionine synthase,EV-EXP,
AT5G17920,AT5G17920.1,AT5G17920.1,HOMOCYSMET-RXN,2.1.1.14,5-methyltetrahydropteroyltriglutamate:homocysteine S-methyltransferase,EV-EXP,
AT2G39800,AT2G39800.1,P5CS1,PROLINE-MULTI,No EC#,delta1-pyrroline-5-carboxylate synthetase,EV-EXP,
AT5G46180,AT5G46180.1,&delta,-OAT,ORNITHINE-GLU-AMINOTRANSFORASE-RXN,2.6.1.13,ornithine-delta-aminotransferase,EV-EXP
AT5G14800,AT5G14800.1,P5C1,PYRROLINECARBREDUCT-RXN,1.5.1.2,pyrroline-5-carboxylate reductase,EV-EXP,
AT2G39800,AT2G39800.1,P5CS1,GLUTKIN-RXN,2.7.2.11,AT2G39800.1,No Evidence Code,
AT3G55610,AT3G55610.1,AT3G55610.1,GLUTKIN-RXN,2.7.2.11,glutamate 5-kinase,EV-COMP,
AT2G39800,AT2G39800.1,P5CS1,GLUTSEMIALDEHYDROG-RXN,1.2.1.41,AT2G39800.1,No Evidence Code,
AT3G55610,AT3G55610.1,AT3G55610.1,GLUTSEMIALDEHYDROG-RXN,1.2.1.41,glutamate-5-semialdehyde dehydrogenase,EV-COMP,
AT5G14800,AT5G14800.1,P5C1,PYRROLINECARBREDUCT-RXN,1.5.1.2,pyrroline-5-carboxylate reductase,EV-EXP,
AT4G08900,AT4G08900.1,ARGAH2,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT4G08870,AT4G08870.1,ARGAH1,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT4G08900,AT4G08900.1,ARGAH2,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT5G46180,AT5G46180.1,&delta,-OAT,ORNITHINE-GLU-AMINOTRANSFORASE-RXN,2.6.1.13,ornithine-delta-aminotransferase,EV-EXP
AT5G14800,AT5G14800.1,P5C1,PYRROLINECARBREDUCT-RXN,1.5.1.2,pyrroline-5-carboxylate reductase,EV-EXP,
AT3G19480,AT3G19480.1,AT3G19480.1,PGLYCDEHYDROG-RXN,1.1.1.95,phosphoglycerate dehydrogenase,EV-COMP,
AT4G34200,AT4G34200.1,AT4G34200.1,PGLYCDEHYDROG-RXN,1.1.1.95,phosphoglycerate dehydrogenase,EV-COMP,
AT1G17745,AT1G17745.2,AT1G17745.2,PGLYCDEHYDROG-RXN,1.1.1.95,3-phosphoglycerate dehydrogenase,EV-EXP,
AT2G17630,AT2G17630.1,AT2G17630.1,PSERTRANSAM-RXN,2.6.1.52,phosphoserine transaminase,EV-COMP,
AT4G35630,AT4G35630.1,AT4G35630.1,PSERTRANSAM-RXN,2.6.1.52,phosphoserine aminotransferase,EV-EXP,
AT1G18640,AT1G18640.2,AT1G18640.2,RXN0-5114,3.1.3.3,3-phosphoserine phosphatase,EV-EXP,
AT4G11640,AT4G11640.1,AT4G11640.1,5.1.1.18-RXN,5.1.1.18,serine racemase,EV-EXP,
AT4G11640,AT4G11640.1,AT4G11640.1,RXN-15581,No EC#,AT4G11640.1,No Evidence Code,
GQT-4550,AT3G20390.1,AT3G20390.1,RXN-15127,3.5.99.10,AT3G20390.1,EV-COMP,
AT2G22250,AT2G22250.2,AT2G22250.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G11520,AT5G11520.1,ASP3,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT1G62800,AT1G62800.2,AT1G62800.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G51690,AT5G51690.1,ACS12,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT1G62960,AT1G62960.1,ACS10,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT5G19550,AT5G19550.1,ASP2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT4G31990,AT4G31990.3,ASP5,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT2G30970,AT2G30970.1,ASP1,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
